Polarity,Time(min),mz,Area,Identification,mz Identification,MS/MS Sampled,Identified Lipid Feature,Redundant ID
+,16.591,813.73242,28397.79168,,,false,false,,
-,16.593,1135.93689,21408.77674,,,false,false,,
+,16.597,830.76013,258977.9063,,,false,false,,
+,16.597,597.48761,21396.58736,,,false,false,,
+,16.599,835.7149,82143.33686,,,false,false,,
+,16.603,906.79248,237010.7425,,,false,false,,
+,16.607,1077.93054,50545.39015,,,false,false,,
-,16.608,597.03888,22107.91736,,,false,false,,
+,16.61,911.74567,56911.01274,,,false,false,,
-,16.613,1182.90576,9185.046726,,,false,false,,
-,16.614,1284.02551,9494.138528,,,false,false,,
-,16.615,1090.92822,8273.168331,,,false,false,,
+,16.616,767.83337,267636.0399,,,false,false,,
+,16.617,927.7218,24716.52173,,,false,false,,
-,16.618,1006.82507,4615.200996,,,false,false,,
+,16.622,698.25568,13827.21437,,,false,false,,
-,16.624,992.86798,17171.24488,,,false,false,,
-,16.625,1310.03882,3242.330126,,,false,false,,
+,16.625,771.6828,44204.15353,,,false,false,,
+,16.626,981.78815,770197.6845,TG 60:8,,true,false,true,
+,16.629,999.7663,226429.0976,,,false,false,,
+,16.629,1032.90674,21434.02804,,,false,false,,
+,16.63,950.81683,2.293883651E7,TG 58:7,,true,true,false,
+,16.63,658.68408,176803.2505,,,false,false,,
+,16.632,753.81763,53972.10458,,,false,false,,
+,16.633,971.74664,2012574.547,,,true,false,,
+,16.633,991.84338,1601685.517,,,true,false,,
+,16.633,1037.77649,24212.05004,,,false,false,,
+,16.634,792.74426,48663.19807,,,false,false,,
+,16.634,493.46124,42742.68292,,,false,false,,
+,16.636,766.72852,86206.91942,,,false,false,,
+,16.636,606.69098,35477.30984,,,false,false,,
+,16.638,636.70178,9700409.339,,,true,false,,
+,16.638,977.83539,2615633.712,,,true,false,,
+,16.639,974.81665,5353311.86,,,true,false,,
+,16.641,1017.85883,969653.6927,,,false,false,,
-,16.643,806.76599,7236.159078,,,false,false,,
+,16.643,955.77258,3103856.881,TG 58:7,,true,true,true,
+,16.643,979.77209,1652090.612,,,false,false,,
+,16.644,951.8205,8971562.438,,,true,false,,
+,16.644,995.74609,1011451.109,,,false,false,,
+,16.647,1046.91431,33651.45359,,,false,false,,
+,16.657,1024.78174,114663.0573,,,false,false,,
-,16.66,878.81958,4500.205927,,,false,false,,
+,16.66,1045.87891,47237.43141,,,false,false,,
+,16.664,1044.87695,110677.5578,,,false,false,,
+,16.666,984.83759,60134.60446,,,false,false,,
-,16.667,1044.83911,7106.249209,,,false,false,,
+,16.68,809.69922,62346.21877,,,false,false,,
+,16.68,1031.80383,13953.40405,,,false,false,,
+,16.682,524.57568,46632.54169,,,false,false,,
+,16.689,804.74341,150764.4077,,,false,false,,
+,16.69,1026.84802,177685.12,,,false,false,,
+,16.692,997.7619,489571.5685,,,false,false,,
-,16.697,1109.92285,28183.07931,,,false,false,,
-,16.698,1064.90784,4527.652214,,,false,false,,
-,16.699,1191.9259,2559.52538,,,false,false,,
+,16.712,1051.91296,44614.10639,,,false,false,,
+,16.716,912.68842,42427.79897,,,false,false,,
-,16.717,1083.90881,4268.968486,,,false,false,,
+,16.727,917.75677,685608.9654,,,false,false,,
+,16.729,863.78961,1524653.314,,,false,false,,
+,16.734,891.74091,855584.4814,,,false,false,,
+,16.738,908.72235,63593.06025,,,false,false,,
+,16.739,906.84656,122176.7208,,,false,false,,
+,16.742,886.78558,5039918.434,TG 53:4,,true,true,false,
+,16.743,549.48767,1260538.922,,,true,false,,
+,16.743,892.83746,403623.0302,,,false,false,,
+,16.744,827.71021,4157641.88,TG 48:1,,true,true,true,
+,16.745,822.7547,2.112241639E7,TG 48:1,,true,true,false,
+,16.748,903.69409,19749.34092,,,false,false,,
+,16.749,843.68445,1826722.867,,,true,false,,
+,16.749,523.47217,414070.8566,,,false,false,,
-,16.752,1020.83887,6803.018192,,,false,false,,
+,16.757,796.73895,3249553.191,TG 46:0,,true,true,false,
+,16.757,837.77411,137398.8112,,,false,false,,
+,16.758,801.69458,536412.7593,,,false,false,,
+,16.759,853.72516,1.185285689E7,TG 16:1_16:0_18:1,,true,true,true,
+,16.759,817.66876,226206.3299,,,false,false,,
+,16.76,1013.76239,47305.90615,,,false,false,,
-,16.761,1233.98022,19599.93837,,,false,false,,
+,16.761,929.71228,96456.15542,,,false,false,,
+,16.766,918.85083,1145293.279,,,false,false,,
-,16.77,989.76062,6538.662671,,,false,false,,
+,16.772,848.77051,7.495272954E7,TG 50:2,,true,true,false,
+,16.773,1008.8028,301650.8026,,,false,false,,
+,16.773,856.77594,240634.3489,,,false,false,,
+,16.776,1000.83295,51388.09351,,,false,false,,
+,16.777,577.51935,1459345.789,,,true,false,,
-,16.778,968.86737,23830.12719,,,false,false,,
-,16.78,966.85114,15341.97497,,,false,false,,
+,16.782,955.72717,46011.80165,,,false,false,,
-,16.785,969.86914,9099.302212,,,false,false,,
+,16.785,958.82104,366111.1157,,,false,false,,
+,16.785,849.2063,43912.59003,,,false,false,,
+,16.788,900.80176,9234464.503,,,false,false,,
+,16.789,874.78583,5.599238045E7,TG 52:3,,true,true,false,
+,16.79,937.70087,73809.38761,,,false,false,,
-,16.791,1362.09119,3818.781013,,,false,false,,
+,16.791,874.31787,57016.9617,,,false,false,,
+,16.793,944.8667,739471.7279,,,false,false,,
+,16.794,905.75732,1763098.189,,,true,false,,
+,16.794,848.32281,113098.408,,,false,false,,
+,16.795,869.69971,4845155.911,,,true,false,,
+,16.795,915.81219,3073853.303,,,true,false,,
+,16.795,592.63916,208534.3981,,,false,false,,
+,16.797,912.80182,5985225.48,,,true,false,,
+,16.798,879.74091,9626479.651,TG 52:3,,true,false,true,
+,16.799,881.70007,40615.70154,,,false,false,,
+,16.8,895.71503,4918034.576,,,true,false,,
+,16.803,551.50342,463930.6852,,,false,false,,
+,16.803,510.56104,160790.1864,,,false,false,,
+,16.803,858.75897,37560.76419,,,false,false,,
+,16.805,542.3241,145174.6486,,,false,false,,
-,16.806,682.66589,2910.678662,,,false,false,,
-,16.807,706.70996,71727.88109,,,true,false,,
-,16.808,1130.85193,16935.21328,,,false,false,,
+,16.808,875.2583,49634.79834,,,false,false,,
+,16.811,830.75989,146094.9435,,,false,false,,
+,16.811,835.71503,59657.87139,,,false,false,,
-,16.812,1162.84131,5103.194002,,,false,false,,
+,16.812,648.70209,598235.6172,,,false,false,,
+,16.814,911.67889,43777.62943,,,false,false,,
+,16.817,518.49261,61213.91145,,,false,false,,
-,16.819,1045.80005,3331.542434,,,false,false,,
+,16.819,956.86475,45440.83347,,,false,false,,
-,16.822,1208.922,55700.37472,,,false,false,,
-,16.823,816.74707,16207.67667,,,false,false,,
+,16.823,552.50653,126617.6278,,,false,false,,
-,16.824,1290.92175,5064.35903,,,false,false,,
+,16.826,671.57324,72478.40749,,,false,false,,
-,16.83,890.82074,26219.19067,,,false,false,,
-,16.831,1080.83899,41327.25161,,,false,false,,
+,16.831,1028.86438,609399.8388,,,false,false,,
+,16.836,606.65472,1094959.268,,,true,false,,
+,16.836,1034.82458,86363.42787,,,false,false,,
-,16.84,890.82025,25178.60288,,,false,false,,
+,16.84,620.67108,145087.0391,,,false,false,,
+,16.841,693.76056,73733.14384,,,false,false,,
+,16.841,1069.89258,33284.85043,,,false,false,,
-,16.843,1486.078,5858.166744,,,false,false,,
-,16.844,1144.87158,4970.183882,,,false,false,,
-,16.844,1019.78619,4654.631654,,,false,false,,
+,16.844,959.74585,249705.3369,,,false,false,,
+,16.845,943.7724,482596.425,,,false,false,,
+,16.845,664.70703,60653.31296,,,false,false,,
+,16.846,938.81683,1880304.593,TG 57:6,,true,true,false,
+,16.848,932.80652,172064.4101,,,false,false,,
-,16.851,1248.9447,2107.286819,,,false,false,,
+,16.852,892.79877,77296.12743,,,false,false,,
-,16.853,864.80591,9400.732901,,,false,false,,
+,16.854,549.48767,424343.0005,,,false,false,,
+,16.855,822.7547,5576579.873,TG 48:1,,true,true,false,
+,16.856,823.75836,2799619.976,,,true,false,,
-,16.858,820.77844,60640.13399,,,true,false,,
-,16.862,1460.06152,51204.57343,CL 72:2,,false,false,false,
+,16.862,973.83417,25142.75458,,,false,false,,
-,16.863,916.83606,16941.99725,,,false,false,,
-,16.868,916.83533,14370.767,,,false,false,,
-,16.869,1482.03943,11424.00247,,,false,false,,
-,16.874,1286.04224,28307.75659,,,false,false,,
-,16.882,1260.02588,37755.71023,,,false,false,,
+,16.882,976.83264,3170994.71,,,true,false,,
+,16.883,917.75708,312527.416,,,false,false,,
+,16.883,937.76331,105317.0107,,,false,false,,
-,16.889,993.76984,16405.14362,,,false,false,,
+,16.89,963.71429,38041.81931,,,false,false,,
-,16.891,898.82513,67108.57695,,,true,false,,
+,16.891,953.73944,56499.81993,,,false,false,,
+,16.892,997.76276,409542.7004,,,false,false,,
+,16.895,1017.85883,488174.3412,,,false,false,,
-,16.902,223.02791,32113.73642,,,true,false,,
-,16.904,1030.82813,9100.819448,,,false,false,,
-,16.904,1046.85583,4324.217406,,,false,false,,
+,16.904,905.75726,4007573.468,TG 54:4,,true,true,true,
-,16.907,924.84143,42484.26905,,,false,false,,
-,16.907,1196.92114,10722.6081,,,false,false,,
+,16.908,900.802,1.96393684E7,TG 54:4,,true,true,false,
-,16.909,808.77875,21388.03779,,,false,false,,
-,16.91,950.85822,17233.19683,,,false,false,,
+,16.912,662.71753,47266.85742,,,false,false,,
-,16.918,812.7879,14576.62734,,,false,false,,
-,16.919,872.80957,461335.9953,,,true,false,,
+,16.923,884.78278,75468.15329,,,false,false,,
-,16.924,972.7702,16020.80626,,,false,false,,
+,16.926,990.84839,941286.9979,,,false,false,,
+,16.927,955.77301,1497111.405,TG 58:7,,true,true,false,
+,16.928,972.75037,563468.7179,,,false,false,,
+,16.93,548.54041,229630.0331,Cer[NS] d36:1,,false,false,false,
+,16.931,697.58966,110794.049,,,false,false,,
+,16.931,900.28534,37268.04622,,,false,false,,
-,16.932,967.7558,19164.01388,,,false,false,,
+,16.932,991.84369,903354.8663,,,true,false,,
+,16.934,971.74622,1253244.528,,,true,false,,
-,16.935,846.79413,1392030.183,,,true,false,,
-,16.935,786.77264,58724.73223,,,true,false,,
-,16.935,849.76678,18370.9496,,,false,false,,
+,16.935,692.63428,75943.25921,,,false,false,,
-,16.936,832.77893,5671.175621,,,false,false,,
+,16.936,713.56354,64815.07056,,,false,false,,
-,16.937,946.75543,42493.18613,,,true,false,,
+,16.937,574.55621,31250.32926,,,false,false,,
+,16.938,546.5246,70884.87293,,,false,false,,
+,16.94,924.80151,2537186.855,,,true,false,,
+,16.94,929.75653,626624.0407,,,false,false,,
+,16.94,788.7865,52707.46567,,,false,false,,
+,16.94,846.83875,51866.5787,,,false,false,,
+,16.942,945.73059,411113.1316,,,false,false,,
+,16.942,649.51971,60324.93705,,,false,false,,
+,16.943,520.50885,538661.1131,Cer[NS] d34:1,,false,false,false,
+,16.943,1011.77283,31796.69774,,,false,false,,
-,16.945,822.75006,52005.55733,,,true,false,,
+,16.947,995.80347,54466.03553,,,false,false,,
+,16.949,984.83759,166625.7596,,,false,false,,
+,16.951,623.50421,23258.41421,,,false,false,,
+,16.952,969.78851,208824.8137,,,false,false,,
+,16.955,1005.77283,23769.53292,,,false,false,,
-,16.957,791.78772,59944.78342,,,false,false,,
+,16.96,985.76202,130877.4579,,,false,false,,
+,16.963,750.55792,23499.08193,,,false,false,,
-,16.968,1172.92017,6515.18457,,,false,false,,
+,16.968,578.65967,37683.80941,,,false,false,,
+,16.97,1080.89258,26858.09344,,,false,false,,
+,16.972,522.59735,63874.92759,,,false,false,,
+,16.98,901.31946,8449.111201,,,false,false,,
-,16.987,1020.83868,16798.41172,,,false,false,,
+,16.996,359.2569,26762.49119,,,false,false,,
-,16.999,1260.95227,83820.88319,,,true,false,,
+,17.002,850.82257,29001.50191,,,false,false,,
-,17.003,1264.84473,2402.192818,,,false,false,,
+,17.007,789.73358,18205.65879,,,false,false,,
+,17.008,989.79309,61831.15839,,,false,false,,
+,17.01,500.27725,192220.4205,,,false,false,,
+,17.012,801.6734,289802.0691,,,false,false,,
+,17.012,722.51221,223990.7431,,,false,false,,
-,17.015,1342.95422,14599.02507,,,false,false,,
+,17.015,507.47714,1095429.183,,,true,false,,
+,17.017,811.71515,220477.135,,,false,false,,
+,17.019,785.70007,922780.8756,,,false,false,,
+,17.019,763.71777,175486.1525,,,false,false,,
-,17.02,1106.85315,287607.4073,,,true,false,,
-,17.02,1188.85645,65045.33282,,,false,false,,
+,17.02,780.74469,1813167.379,Alkenyl-TG P-14:0_16:0_16:0,,true,true,false,
+,17.021,806.76001,763133.8884,,,false,false,,
+,17.022,1130.8501,35237.14971,,,false,false,,
+,17.023,963.77948,93591.90422,,,false,false,,
-,17.024,1270.85754,13663.42781,,,false,false,,
-,17.028,1123.93762,2217.964189,,,false,false,,
+,17.031,481.46136,975575.8149,,,true,false,,
+,17.033,739.57916,389764.3579,,,false,false,,
+,17.035,723.60559,745021.4511,,,false,false,,
+,17.038,568.33948,704517.4022,LysoPC 22:6,,false,false,false,
-,17.039,933.86401,6723.601129,,,false,false,,
+,17.04,718.65021,727564.0306,CE 22:4,,false,false,false,
+,17.041,775.6593,72519.34564,,,false,false,,
+,17.041,1016.75024,18562.35876,,,false,false,,
+,17.042,973.76178,1375853.169,,,true,false,,
+,17.042,369.35141,801522.1361,,,true,false,,
+,17.042,974.7652,465560.8076,,,false,false,,
+,17.042,737.70184,58750.31919,,,false,false,,
+,17.043,754.72852,371907.7817,,,false,false,,
+,17.049,759.68408,258147.6765,,,false,false,,
+,17.051,952.83295,8818515.443,TG 58:6,,true,false,false,
+,17.051,957.78827,2091043.925,TG 18:1_18:1_22:4,,true,false,true,
+,17.053,992.86194,649434.1549,,,false,false,,
+,17.053,1010.91107,50002.57352,,,false,false,,
-,17.054,1234.93677,163488.2852,,,true,false,,
-,17.054,1316.94019,27234.43075,,,false,false,,
-,17.054,1398.94348,4850.853199,,,false,false,,
+,17.055,996.89954,125820.9112,,,false,false,,
+,17.057,1176.9325,79790.25603,,,false,false,,
+,17.057,653.55017,69633.88096,,,false,false,,
+,17.059,564.40527,76223.5505,,,false,false,,
-,17.061,1210.88672,5491.80801,,,false,false,,
+,17.066,931.77289,4680506.461,TG 56:5,,true,true,true,
-,17.067,944.75488,9049.646858,,,false,false,,
+,17.069,948.74957,1093790.001,,,false,false,,
-,17.07,943.75067,16454.26925,,,false,false,,
+,17.07,564.88861,142546.2383,,,false,false,,
+,17.073,926.81696,2.144301263E7,TG 56:5,,true,true,false,
-,17.074,1389.03577,6821.626007,,,false,false,,
+,17.074,947.74646,2793513.242,,,true,false,,
+,17.076,960.84296,188158.6853,,,false,false,,
+,17.077,967.84399,1143998.707,,,true,false,,
+,17.083,564.64471,5.496565761E7,,,true,false,,
-,17.084,1363.02527,5889.112776,,,false,false,,
-,17.084,1048.91675,5819.425404,,,false,false,,
-,17.084,1108.93396,4636.759298,,,false,false,,
+,17.087,564.39484,143572.3645,,,false,false,,
+,17.089,509.49344,127483.6631,,,false,false,,
+,17.091,862.78638,1.324215218E7,TG 51:2,,true,true,false,
+,17.092,893.75739,1997816.6,TG 17:1_18:1_18:1,,true,true,true,
+,17.093,589.51874,199863.1178,,,false,false,,
+,17.095,867.74158,3091666.633,TG 51:2,,true,true,true,
+,17.096,888.80206,8552669.627,TG 53:3,,true,true,false,
+,17.097,909.73126,838324.0694,,,false,false,,
+,17.098,883.71594,1504739.301,,,true,false,,
-,17.1,970.81952,5290.986134,,,false,false,,
+,17.1,561.16974,15079.18267,,,false,false,,
-,17.102,591.60999,6556.071453,,,false,false,,
+,17.108,562.62909,22392.52546,,,false,false,,
-,17.109,956.86743,6064.72567,,,false,false,,
+,17.11,836.77069,5695313.809,TG 49:1,,true,true,false,
+,17.112,857.70038,661869.7454,,,false,false,,
+,17.113,841.72607,1397319.05,,,true,false,,
+,17.113,537.48798,75887.88364,,,false,false,,
+,17.115,564.41394,42614.22354,,,false,false,,
+,17.118,591.53461,78122.74576,,,false,false,,
+,17.12,533.49255,66943.47862,,,false,false,,
+,17.124,906.84668,71929.83812,,,false,false,,
-,17.125,904.83606,6420.88231,,,false,false,,
+,17.126,815.70996,157193.5797,,,false,false,,
+,17.13,810.75488,781146.144,TG 47:0,,true,true,false,
+,17.132,900.80206,1.435466681E7,TG 54:4,,true,true,false,
+,17.132,831.6828,60237.64249,,,false,false,,
-,17.133,1018.88208,24262.22359,,,false,false,,
+,17.134,905.75702,3253146.301,TG 54:4,,true,true,true,
+,17.139,934.82489,463099.982,,,false,false,,
+,17.14,939.77563,115300.7122,,,false,false,,
-,17.144,916.83606,7495.868553,,,false,false,,
+,17.15,938.7663,70503.11391,,,false,false,,
+,17.151,958.88,45420.77051,,,false,false,,
+,17.159,870.79242,71828.84385,,,false,false,,
+,17.169,949.83325,171033.6237,,,false,false,,
+,17.173,634.72278,2372755.414,,,true,false,,
+,17.176,944.87366,42175.05145,,,false,false,,
+,17.177,744.66559,349594.8179,,,false,false,,
+,17.177,896.71844,235497.0605,,,false,false,,
+,17.177,1182.87463,100491.8707,,,false,false,,
+,17.178,587.53931,26915.86333,,,false,false,,
+,17.181,1012.86865,13945.22219,,,false,false,,
+,17.182,765.59595,170969.5109,,,false,false,,
-,17.184,1094.85303,43421.91951,,,false,false,,
+,17.19,978.84802,4705400.905,TG 60:7,,true,true,false,
+,17.191,913.76263,470597.1562,,,false,false,,
+,17.192,908.80792,1363593.403,,,false,false,,
+,17.192,749.62048,202770.3425,,,false,false,,
-,17.193,1158.88452,547689.694,,,true,false,,
+,17.193,983.80365,1113668.967,TG 18:1_18:0_24:6,,true,false,true,
+,17.193,774.54401,437954.2304,PE O-40:7,,false,false,false,
+,17.194,999.77722,1053860.383,,,false,false,,
+,17.194,1000.78033,453307.6014,,,false,false,,
+,17.197,1019.87512,830505.4014,,,false,false,,
-,17.198,938.85699,11470.93636,,,false,false,,
+,17.2,1048.93225,34408.70397,,,false,false,,
-,17.201,1404.89111,6252.746884,,,false,false,,
-,17.203,1256.85913,14418.03865,,,false,false,,
-,17.204,1322.89172,24610.54803,,,false,false,,
-,17.207,1240.88684,98405.39751,,,true,false,,
-,17.21,972.7702,4387.595248,,,false,false,,
+,17.211,919.85278,9287.780803,,,false,false,,
+,17.213,537.52448,88941.03549,,,false,false,,
+,17.213,1039.79395,41102.18376,,,false,false,,
-,17.214,912.84015,35484.19064,,,false,false,,
+,17.216,957.78802,2482940.293,TG 58:6,,true,true,true,
+,17.216,385.27341,189119.457,,,false,false,,
+,17.217,952.83264,1.444288722E7,TG 58:6,,true,true,false,
+,17.217,1022.91693,71126.3761,,,false,false,,
-,17.218,1184.92151,20645.36937,,,false,false,,
+,17.218,973.76221,1643337.945,,,true,false,,
+,17.22,993.85913,1417195.864,,,true,false,,
+,17.22,888.80151,1116656.618,,,false,false,,
+,17.221,651.53601,41043.71106,,,false,false,,
+,17.222,923.82104,109326.8414,,,false,false,,
-,17.223,970.77136,14656.58212,,,false,false,,
+,17.223,526.29285,1351249.572,LysoPE 22:6,,true,true,false,
-,17.224,1378.88,20240.44694,,,false,false,,
+,17.224,578.62354,514116.7486,,,false,false,,
+,17.224,986.85345,123269.0868,,,false,false,,
-,17.226,1272.82507,2221.119402,,,false,false,,
+,17.228,369.35123,295379.47,,,false,false,,
-,17.229,1372.86133,18794.54042,,,false,false,,
-,17.229,1284.02795,3392.609095,,,false,false,,
-,17.23,223.02789,21713.23523,,,true,false,,
+,17.23,1036.92603,17388.88459,,,false,false,,
+,17.233,606.65479,821912.8962,,,true,false,,
-,17.234,1230.84558,31067.99076,,,false,false,,
-,17.235,1312.84668,17675.60342,,,false,false,,
+,17.237,991.7995,27151.59065,,,false,false,,
-,17.239,1460.88281,6040.30999,,,false,false,,
+,17.239,775.63739,87699.61723,,,false,false,,
-,17.241,1394.85449,7301.618814,,,false,false,,
-,17.244,1132.8689,1407644.886,,,true,false,,
-,17.244,1214.87146,246220.6561,,,true,false,,
+,17.245,748.52765,1043597.808,PE O-38:6,,true,true,false,
+,17.245,903.72137,153305.8537,,,false,false,,
+,17.246,1156.86548,282169.447,,,false,false,,
+,17.247,1178.85205,78445.75439,,,false,false,,
+,17.247,1005.76642,19856.92662,,,false,false,,
+,17.248,882.79272,870848.6282,,,false,false,,
+,17.248,1172.83557,54678.05605,,,false,false,,
-,17.249,1296.87317,64977.02795,,,true,false,,
-,17.251,1190.8302,27717.70183,,,false,false,,
-,17.251,1290.85938,24218.09122,,,false,false,,
+,17.252,887.74707,338359.9784,,,false,false,,
+,17.252,1016.74939,24452.59192,,,false,false,,
+,17.257,791.61053,79947.81129,,,false,false,,
-,17.258,1454.86414,3485.30514,,,false,false,,
+,17.26,770.68097,390762.6967,,,false,false,,
-,17.261,1309.82959,5082.875948,,,false,false,,
+,17.263,622.65051,46188.772,,,false,false,,
+,17.268,570.3551,308933.4871,LysoPC 22:5,,false,false,false,
-,17.273,943.75067,17534.33012,,,false,false,,
+,17.273,997.90198,103713.1805,,,false,false,,
-,17.275,1312.05969,6893.034043,,,false,false,,
+,17.275,926.81696,1.721582792E7,,,true,false,,
+,17.275,931.77222,4282631.527,TG 56:5,,true,true,false,
+,17.275,967.84381,2645533.51,,,true,false,,
+,17.276,947.74603,2779777.605,,,true,false,,
+,17.277,1013.77527,86363.14513,,,false,false,,
+,17.277,1006.76825,29764.06782,,,false,false,,
+,17.278,989.73083,49443.20174,,,false,false,,
-,17.279,886.82495,40058.21406,,,false,false,,
-,17.281,822.79449,30843.20372,,,false,false,,
+,17.281,1007.75452,33491.27318,,,false,false,,
+,17.283,492.30774,91284.70314,,,false,false,,
+,17.285,625.51941,154164.6986,,,false,false,,
+,17.285,926.30353,25685.46601,,,false,false,,
+,17.286,1010.90912,60860.78589,,,false,false,,
+,17.287,996.90179,189048.6988,,,false,false,,
-,17.289,944.75604,12488.58133,,,false,false,,
+,17.291,620.67041,35675.41799,,,false,false,,
+,17.295,1004.86353,2003168.587,TG 62:8,,true,true,false,
+,17.296,927.35809,12145.92458,,,false,false,,
+,17.302,1010.82275,229047.0423,,,false,false,,
-,17.305,1021.80499,3089.23868,,,false,false,,
+,17.305,634.68646,112769.2477,,,false,false,,
+,17.307,943.83917,193572.6333,,,false,false,,
+,17.312,1009.8205,495480.3436,,,false,false,,
+,17.312,1178.94617,270515.5948,,,false,false,,
-,17.313,1236.95239,452656.0209,,,true,false,,
+,17.314,1046.89392,160656.3471,,,false,false,,
+,17.315,919.77289,595644.285,,,false,false,,
+,17.315,1025.79358,355817.6249,,,false,false,,
-,17.318,860.80927,56986.20321,,,true,false,,
-,17.318,1400.96362,25626.42653,,,false,false,,
+,17.32,1045.89111,272471.0717,,,false,false,,
+,17.32,982.86157,202710.7995,,,false,false,,
-,17.321,1318.95654,104816.2793,,,true,false,,
+,17.321,590.66003,302666.7496,,,false,false,,
-,17.322,1334.93005,6022.878753,,,false,false,,
+,17.322,841.76752,24862.95718,,,false,false,,
+,17.323,877.70734,30219.99989,,,false,false,,
+,17.324,599.50391,80162.84169,,,false,false,,
+,17.324,1001.8689,29966.57784,,,false,false,,
+,17.326,538.59235,24259.39321,,,false,false,,
+,17.327,945.78766,521701.3651,,,false,false,,
+,17.327,961.76135,297436.69,,,false,false,,
-,17.333,978.7663,4567.208151,,,false,false,,
+,17.336,981.76331,29714.61307,,,false,false,,
+,17.339,935.74609,340858.0143,,,false,false,,
+,17.34,861.73157,166747.6559,,,false,false,,
+,17.34,721.50787,14922.04741,,,false,false,,
+,17.343,864.74908,51116.7116,,,false,false,,
-,17.345,1137.96045,11954.10414,,,false,false,,
+,17.352,1072.91077,13934.80687,,,false,false,,
+,17.353,856.776,518859.4685,,,false,false,,
+,17.355,1079.94348,27652.57094,,,false,false,,
+,17.356,510.56119,651376.5066,,,true,false,,
+,17.359,1051.80518,37089.17385,,,false,false,,
+,17.36,356.38843,280067.8446,,,false,false,,
+,17.36,825.73047,16024.39023,,,false,false,,
+,17.363,1071.9071,21878.8873,,,false,false,,
+,17.366,544.33978,3244044.485,LysoPC 20:4,,true,true,false,
+,17.367,1012.875,20421.77587,,,false,false,,
-,17.368,1268.89197,9509.901176,,,false,false,,
-,17.368,1450.9281,4280.113951,,,false,false,,
-,17.37,1390.92053,5482.430226,,,false,false,,
-,17.373,1456.95007,5574.387264,,,false,false,,
+,17.373,1174.91089,223263.5712,,,false,false,,
+,17.374,1036.83496,31448.6192,,,false,false,,
-,17.375,1374.94556,33734.84209,,,false,false,,
-,17.375,1365.03357,15822.61138,,,false,false,,
-,17.377,1292.93958,175414.6291,,,true,false,,
-,17.377,1368.92871,11989.56287,,,false,false,,
+,17.377,1021.87872,60320.68586,,,false,false,,
-,17.379,1186.88623,41194.58579,,,false,false,,
-,17.384,1210.93701,965391.9311,,,true,false,,
-,17.384,1308.91394,16943.30014,,,false,false,,
+,17.386,1152.92969,529025.7236,,,false,false,,
+,17.386,799.71667,33134.23661,,,false,false,,
+,17.388,1054.87781,11776.90811,,,false,false,,
+,17.389,1035.8374,73940.0404,,,false,false,,
+,17.395,972.80939,38143.17204,,,false,false,,
+,17.397,1057.9043,62656.49244,,,false,false,,
+,17.402,521.49298,37113.33616,,,false,false,,
-,17.403,1339.01733,10653.27832,,,false,false,,
+,17.407,794.76257,85310.3837,,,false,false,,
+,17.409,1031.88159,164493.7665,,,false,false,,
-,17.411,1187.89478,11483.5776,,,false,false,,
+,17.412,777.56189,47707.65294,,,false,false,,
-,17.418,1092.94043,9657.959862,,,false,false,,
-,17.427,1111.94055,4438.725811,,,false,false,,
+,17.427,820.77509,113051.2004,,,false,false,,
+,17.439,943.8432,5765269.89,,,true,false,,
+,17.44,923.74579,7664518.992,,,true,false,,
+,17.441,989.77454,208335.0552,,,false,false,,
+,17.442,387.2886,75876.38284,,,false,false,,
+,17.444,907.77161,1.301753441E7,TG 18:1_18:1_18:1,,true,true,true,
+,17.444,972.89612,919977.021,,,false,false,,
+,17.444,965.72656,117083.3543,,,false,false,,
-,17.445,1082.85278,30483.43871,,,false,false,,
-,17.446,919.75562,7070.019704,,,false,false,,
+,17.449,986.9115,178593.3597,,,false,false,,
+,17.453,902.81653,6.890344396E7,TG 54:3,,true,true,false,
+,17.458,528.30811,551571.9834,,,false,false,,
+,17.459,963.75903,542113.48,,,false,false,,
-,17.46,1192.84692,14527.06536,,,false,false,,
-,17.46,994.88251,14228.6138,,,false,false,,
+,17.46,902.33429,137357.7199,,,false,false,,
-,17.463,942.85101,51802.41163,,,false,false,,
+,17.464,946.88123,1919397.576,,,true,false,,
+,17.464,960.89642,439265.4832,,,false,false,,
+,17.464,876.33539,230313.4488,,,false,false,,
+,17.465,603.53461,2926032.253,,,true,false,,
+,17.465,878.284,90521.06977,,,false,false,,
+,17.466,988.77936,270217.0665,,,false,false,,
-,17.467,1417.07251,3693.650915,,,false,false,,
+,17.468,897.73029,1.08442271E7,,,true,false,,
+,17.468,917.82751,8328305.981,,,true,false,,
-,17.469,970.88171,110498.6416,,,true,false,,
+,17.471,877.28687,190197.7786,,,false,false,,
+,17.473,881.75635,2.214297893E7,TG 52:2,,true,true,true,
+,17.474,939.71582,217064.3034,,,false,false,,
-,17.475,1286.04053,6254.553434,,,false,false,,
+,17.476,851.24048,89860.19678,,,false,false,,
+,17.478,876.80157,1.157030053E8,TG 52:2,,true,true,false,
+,17.478,947.88318,922469.3571,,,false,false,,
+,17.479,957.73694,191077.6885,,,false,false,,
-,17.482,1393.84888,4844.5854,,,false,false,,
+,17.485,577.51935,4598904.639,,,true,false,,
+,17.495,750.54327,1984060.835,PE O-38:5,,true,true,false,
-,17.496,1311.84668,12347.94852,,,false,false,,
